glyph_name,ps_name,USV,DesignerOrder,fonts,bcp47tags,OTLang,Feat
.notdef,.notdef,,0,*,,,
.null,.null,,1,*,,,
nonmarkingreturn,nonmarkingreturn,,2,*,,,
space,space,0020,3,*,,,
tab,tab,,4,*,,,
exclam,exclam,0021,5,*,,,
quotedbl,quotedbl,0022,7,*,,,
numbersign,numbersign,0023,8,*,,,
dollar,dollar,0024,9,*,,,
percent,percent,0025,10,*,,,
ampersand,ampersand,0026,11,*,,,
quotesingle,quotesingle,0027,12,*,,,
parenleft,parenleft,0028,13,*,,,
parenright,parenright,0029,15,*,,,
asterisk,asterisk,002A,17,*,,,
plus,plus,002B,19,*,,,
comma,comma,002C,20,*,,,
hyphentwo,uni2010,2010,21,*,,,
hyphen,hyphen,002D,22,*,,,
period,period,002E,23,*,,,
period.test,period.test,,24,*,,,
slash,slash,002F,25,*,,,
zero,zero,0030,26,*,,,
zero.medium,zero.medium,,27,*,,,
zero.small,zero.small,,28,*,,,
one,one,0031,29,*,,,
one.medium,one.medium,,30,*,,,
one.small,one.small,,31,*,,,
two,two,0032,32,*,,,
two.medium,two.medium,,33,*,,,
two.small,two.small,,34,*,,,
three,three,0033,35,*,,,
three.medium,three.medium,,36,*,,,
three.small,three.small,,37,*,,,
four,four,0034,38,*,,,
four.medium,four.medium,,39,*,,,
four.small,four.small,,40,*,,,
five,five,0035,41,*,,,
five.medium,five.medium,,42,*,,,
five.small,five.small,,43,*,,,
six,six,0036,44,*,,,
six.medium,six.medium,,45,*,,,
six.small,six.small,,46,*,,,
seven,seven,0037,47,*,,,
seven.medium,seven.medium,,48,*,,,
seven.small,seven.small,,49,*,,,
eight,eight,0038,50,*,,,
eight.medium,eight.medium,,51,*,,,
eight.small,eight.small,,52,*,,,
nine,nine,0039,53,*,,,
nine.medium,nine.medium,,54,*,,,
nine.small,nine.small,,55,*,,,
colon,colon,003A,56,*,,,
semicolon,semicolon,003B,58,*,,,
less,less,003C,59,*,,,
equal,equal,003D,60,*,,,
greater,greater,003E,61,*,,,
question,question,003F,62,*,,,
at,at,0040,63,*,,,
A,A,0041,64,*,,,
B,B,0042,65,*,,,
C,C,0043,66,*,,,
D,D,0044,67,*,,,
E,E,0045,68,*,,,
F,F,0046,69,*,,,
G,G,0047,70,*,,,
H,H,0048,71,*,,,
I,I,0049,72,*,,,
J,J,004A,73,*,,,
K,K,004B,74,*,,,
L,L,004C,75,*,,,
M,M,004D,76,*,,,
N,N,004E,77,*,,,
O,O,004F,78,*,,,
P,P,0050,79,*,,,
Q,Q,0051,80,*,,,
R,R,0052,81,*,,,
S,S,0053,82,*,,,
T,T,0054,83,*,,,
U,U,0055,84,*,,,
V,V,0056,85,*,,,
W,W,0057,86,*,,,
X,X,0058,87,*,,,
Y,Y,0059,88,*,,,
Z,Z,005A,89,*,,,
bracketleft,bracketleft,005B,90,*,,,
bracketright,bracketright,005D,91,*,,,
backslash,backslash,005C,92,*,,,
underscore,underscore,005F,93,*,,,
a,a,0061,94,*,,,
b,b,0062,95,*,,,
c,c,0063,96,*,,,
d,d,0064,97,*,,,
e,e,0065,98,*,,,
f,f,0066,99,*,,,
g,g,0067,100,*,,,
h,h,0068,101,*,,,
i,i,0069,102,*,,,
j,j,006A,103,*,,,
k,k,006B,104,*,,,
l,l,006C,105,*,,,
m,m,006D,106,*,,,
n,n,006E,107,*,,,
o,o,006F,108,*,,,
p,p,0070,109,*,,,
q,q,0071,110,*,,,
r,r,0072,111,*,,,
s,s,0073,112,*,,,
t,t,0074,113,*,,,
u,u,0075,114,*,,,
v,v,0076,115,*,,,
w,w,0077,116,*,,,
x,x,0078,117,*,,,
y,y,0079,118,*,,,
z,z,007A,119,*,,,
braceleft,braceleft,007B,120,*,,,
braceright,braceright,007D,121,*,,,
bar,bar,007C,122,*,,,
asciitilde,asciitilde,007E,123,*,,,
nbspace,uni00A0,00A0,124,*,,,
exclamdown,exclamdown,00A1,125,*,,,
cent,cent,00A2,126,*,,,
sterling,sterling,00A3,127,*,,,
currency,currency,00A4,128,*,,,
yen,yen,00A5,129,*,,,
brokenbar,brokenbar,00A6,130,*,,,
section,section,00A7,131,*,,,
copyright,copyright,00A9,132,*,,,
registered,registered,00AE,133,*,,,
ordfeminine,ordfeminine,00AA,134,*,,,
guillemetleft,guillemotleft,00AB,135,*,,,
logicalnot,logicalnot,00AC,136,*,,,
softhyphen,uni00AD,00AD,137,*,,,
degree,degree,00B0,138,*,,,
plusminus,plusminus,00B1,139,*,,,
asciicircum,asciicircum,005E,140,*,,,
micro,uni00B5,00B5,141,*,,,
paragraph,paragraph,00B6,142,*,,,
periodcentered,periodcentered,00B7,143,*,,,
ordmasculine,ordmasculine,00BA,144,*,,,
guillemetright,guillemotright,00BB,145,*,,,
onesuperior,onesuperior,00B9,146,*,,,
twosuperior,twosuperior,00B2,147,*,,,
threesuperior,threesuperior,00B3,148,*,,,
onehalf,onehalf,00BD,149,*,,,
onequarter,onequarter,00BC,150,*,,,
threequarters,threequarters,00BE,151,*,,,
questiondown,questiondown,00BF,152,*,,,
Agrave,Agrave,00C0,153,*,,,
Aacute,Aacute,00C1,154,*,,,
Acircumflex,Acircumflex,00C2,155,*,,,
Atilde,Atilde,00C3,156,*,,,
Adieresis,Adieresis,00C4,157,*,,,
Aring,Aring,00C5,158,*,,,
AE,AE,00C6,159,*,,,
Ccedilla,Ccedilla,00C7,160,*,,,
Egrave,Egrave,00C8,161,*,,,
Eacute,Eacute,00C9,162,*,,,
Ecircumflex,Ecircumflex,00CA,163,*,,,
Edieresis,Edieresis,00CB,164,*,,,
Igrave,Igrave,00CC,165,*,,,
Iacute,Iacute,00CD,166,*,,,
Icircumflex,Icircumflex,00CE,167,*,,,
Idieresis,Idieresis,00CF,168,*,,,
Eth,Eth,00D0,169,*,,,
Ntilde,Ntilde,00D1,170,*,,,
Ograve,Ograve,00D2,171,*,,,
Oacute,Oacute,00D3,172,*,,,
Ocircumflex,Ocircumflex,00D4,173,*,,,
Otilde,Otilde,00D5,174,*,,,
Odieresis,Odieresis,00D6,175,*,,,
multiply,multiply,00D7,176,*,,,
Oslash,Oslash,00D8,177,*,,,
Ugrave,Ugrave,00D9,178,*,,,
Uacute,Uacute,00DA,179,*,,,
Ucircumflex,Ucircumflex,00DB,180,*,,,
Udieresis,Udieresis,00DC,181,*,,,
Yacute,Yacute,00DD,182,*,,,
Thorn,Thorn,00DE,183,*,,,
germandbls,germandbls,00DF,184,*,,,
agrave,agrave,00E0,185,*,,,
aacute,aacute,00E1,186,*,,,
acircumflex,acircumflex,00E2,187,*,,,
atilde,atilde,00E3,188,*,,,
adieresis,adieresis,00E4,189,*,,,
aring,aring,00E5,190,*,,,
ae,ae,00E6,191,*,,,
ccedilla,ccedilla,00E7,192,*,,,
egrave,egrave,00E8,193,*,,,
eacute,eacute,00E9,194,*,,,
ecircumflex,ecircumflex,00EA,195,*,,,
edieresis,edieresis,00EB,196,*,,,
igrave,igrave,00EC,197,*,,,
iacute,iacute,00ED,198,*,,,
icircumflex,icircumflex,00EE,199,*,,,
idieresis,idieresis,00EF,200,*,,,
eth,eth,00F0,201,*,,,
ntilde,ntilde,00F1,202,*,,,
ograve,ograve,00F2,203,*,,,
oacute,oacute,00F3,204,*,,,
ocircumflex,ocircumflex,00F4,205,*,,,
otilde,otilde,00F5,206,*,,,
